profile_id,region_code,state_code,coverage_limit,num_vehicles,num_drivers,household_size,youth_driver_flag,senior_driver_flag,prior_claim_count,multi_policy_flag,home_value_band,credit_score_band,urban_rural_flag
492,Region 4,S08,2M,3,3,4,1,1,0,1,Standard,Medium,Suburban
495,Region 5,S10,5M,1,1,1,0,0,0,0,Standard,High,Urban
503,Region 2,S12,1M,3,2,2,0,1,0,1,Standard,Medium,Suburban
506,Region 5,S10,2M,8,5,5,0,0,0,1,High Net Worth,Medium,Suburban
517,Region 3,S05,1M,4,3,3,0,0,0,1,Premium,Medium,Urban
573,Region 3,S06,2M,2,1,1,0,0,0,1,Premium,High,Urban
574,Region 5,S10,1M,3,3,4,0,0,0,0,Standard,Medium,Suburban
576,Region 4,S07,1M,3,2,2,0,0,0,1,Premium,High,Rural
579,Region 5,S11,1M,6,6,6,0,0,0,0,Premium,High,Urban
586,Region 4,S08,2M,6,4,4,0,1,1,0,Standard,Medium,Suburban
615,Region 2,S04,2M,4,3,3,0,0,0,1,Entry,High,Urban
617,Region 5,S09,1M,6,5,5,0,0,0,1,Premium,High,Suburban
619,Region 1,S02,1M,3,3,3,0,0,0,1,Premium,Medium,Suburban
633,Region 1,S01,2M,2,2,2,0,0,0,0,Standard,Medium,Suburban
648,Region 4,S07,5M,3,2,2,0,0,0,0,Entry,Low,Suburban
652,Region 5,S11,2M,7,5,5,0,0,0,1,Standard,Medium,Suburban
656,Region 3,S05,5M,2,2,2,0,0,0,0,Premium,Medium,Suburban
670,Region 3,S06,5M,4,4,4,0,0,0,0,Entry,Medium,Rural
674,Region 5,S09,1M,5,4,5,1,0,0,1,Premium,High,Urban
691,Region 2,S04,1M,1,1,1,0,0,1,1,Standard,High,Suburban
696,Region 4,S07,1M,5,5,5,0,0,0,1,Standard,Low,Suburban
699,Region 4,S08,1M,4,3,3,0,0,0,1,Standard,Medium,Suburban
702,Region 3,S05,2M,2,1,1,0,0,0,1,Entry,High,Rural
709,Region 3,S06,2M,2,1,1,0,0,0,1,Standard,High,Suburban
713,Region 5,S10,1M,3,3,3,0,0,0,0,Standard,Medium,Urban
757,Region 3,S05,1M,4,3,3,0,0,0,1,Premium,Medium,Urban
759,Region 1,S01,5M,3,2,2,0,0,0,1,Entry,Medium,Rural
774,Region 5,S11,1M,4,3,3,0,0,1,1,Standard,Medium,Suburban
778,Region 2,S03,2M,3,3,3,0,0,0,0,Standard,Medium,Urban
785,Region 2,S12,5M,4,3,3,0,0,1,0,Entry,Medium,Urban
789,Region 5,S10,1M,3,2,2,0,1,0,0,Standard,Low,Rural
794,Region 1,S02,1M,4,2,2,0,0,0,0,Standard,Medium,Suburban
803,Region 5,S11,1M,4,3,3,1,1,0,0,Entry,Medium,Rural
805,Region 1,S02,1M,5,4,5,0,0,0,1,Standard,Low,Urban
821,Region 1,S01,2M,2,1,2,1,0,0,0,Entry,High,Suburban
822,Region 4,S08,1M,4,3,3,0,0,0,0,Premium,High,Rural
834,Region 5,S09,1M,3,2,2,0,0,0,1,Standard,Medium,Urban
843,Region 4,S07,2M,3,2,2,0,1,1,1,Entry,Low,Urban
853,Region 5,S11,1M,2,1,1,0,0,0,1,Standard,Medium,Suburban
857,Region 5,S09,2M,4,3,3,0,0,0,1,Entry,Medium,Urban
867,Region 5,S11,2M,4,4,4,0,1,0,1,Premium,Low,Suburban
877,Region 3,S05,1M,4,3,3,0,0,1,1,Standard,High,Suburban
881,Region 3,S06,5M,5,3,4,0,0,0,0,Standard,High,Rural
884,Region 3,S06,1M,1,1,1,0,0,0,0,Premium,Medium,Rural
887,Region 3,S05,1M,5,4,4,0,0,0,0,Standard,Medium,Urban
897,Region 2,S04,1M,3,2,2,0,0,0,1,Standard,Medium,Rural
921,Region 1,S02,2M,6,6,6,0,0,0,1,Premium,Medium,Suburban
924,Region 4,S07,1M,1,1,1,0,0,0,1,Entry,Medium,Suburban
929,Region 4,S08,1M,2,1,1,0,0,3,0,Premium,High,Urban
934,Region 5,S10,1M,1,1,1,0,0,0,0,Standard,High,Suburban
950,Region 3,S05,2M,5,3,3,0,0,2,0,Standard,High,Urban
954,Region 2,S03,2M,5,4,4,0,0,0,0,Standard,High,Suburban
966,Region 3,S06,1M,1,1,2,0,0,0,0,Standard,Medium,Suburban
967,Region 2,S12,2M,7,6,7,0,0,1,1,Standard,Low,Urban
980,Region 2,S03,2M,3,2,3,0,1,0,1,Premium,Low,Urban
981,Region 2,S12,1M,5,4,4,1,1,0,1,High Net Worth,High,Suburban
986,Region 2,S12,1M,7,6,6,0,0,0,1,Standard,Medium,Rural
1004,Region 2,S03,2M,1,1,1,0,0,0,1,Standard,Medium,Suburban
1023,Region 2,S12,1M,4,3,4,1,0,0,1,High Net Worth,Low,Suburban
1026,Region 3,S05,1M,3,1,1,0,0,0,1,Standard,High,Suburban
1033,Region 4,S07,1M,1,1,1,0,0,1,1,Premium,Medium,Suburban
1044,Region 5,S09,1M,6,6,6,1,0,0,1,Standard,Low,Rural
1046,Region 3,S05,5M,2,2,2,1,0,0,1,Premium,Medium,Urban
1054,Region 2,S03,1M,3,3,3,0,0,0,1,Standard,Medium,Suburban
1055,Region 2,S04,2M,5,3,3,0,0,1,1,Premium,Low,Suburban
1058,Region 2,S03,2M,6,4,4,0,0,0,1,Standard,Medium,Urban
1060,Region 5,S09,1M,3,3,3,1,1,0,0,Premium,High,Suburban
1061,Region 2,S12,5M,4,4,4,0,0,1,1,Standard,Medium,Rural
1071,Region 5,S11,2M,3,1,1,0,0,0,1,Entry,Medium,Suburban
1092,Region 4,S08,5M,5,4,4,0,1,0,0,Entry,High,Urban
1123,Region 5,S10,5M,4,2,2,0,0,0,0,Entry,Low,Rural
1127,Region 4,S07,1M,7,5,5,0,0,0,1,Standard,High,Rural
1138,Region 3,S06,1M,4,3,3,0,0,0,1,Standard,Medium,Urban
1140,Region 5,S09,1M,3,1,2,0,0,0,1,Standard,Medium,Suburban
1147,Region 5,S09,1M,5,5,6,1,0,1,1,Premium,Medium,Suburban
1153,Region 1,S02,1M,4,3,3,0,0,0,1,Standard,High,Urban
1163,Region 5,S10,1M,4,4,4,0,0,0,1,Entry,Low,Rural
1166,Region 5,S11,1M,2,2,2,0,0,0,1,Entry,Low,Rural
1170,Region 1,S02,5M,2,2,2,0,0,0,1,Entry,High,Suburban
1176,Region 5,S10,2M,2,2,2,0,0,0,0,Standard,Medium,Suburban
1177,Region 3,S06,5M,2,1,1,0,0,0,0,Premium,High,Suburban
1183,Region 1,S02,5M,3,2,2,0,1,0,0,Standard,Medium,Rural
1197,Region 2,S04,2M,4,4,4,1,0,0,1,Entry,High,Urban
1200,Region 5,S09,1M,6,4,4,1,0,0,1,High Net Worth,Low,Urban
1222,Region 2,S04,1M,3,3,3,0,0,0,0,Premium,High,Suburban
1225,Region 2,S03,1M,2,2,2,0,0,0,0,Premium,High,Urban
1231,Region 2,S04,5M,2,1,2,0,0,0,0,Standard,Medium,Rural
1247,Region 4,S08,1M,3,2,2,1,1,0,0,Premium,High,Urban
1249,Region 5,S11,1M,2,2,2,0,0,0,1,Standard,High,Urban
1256,Region 5,S11,2M,3,2,2,0,0,0,1,Premium,Low,Suburban
1257,Region 5,S10,5M,2,1,1,0,1,0,1,Standard,Medium,Suburban
1310,Region 2,S12,1M,2,1,2,0,0,0,1,Premium,Medium,Suburban
1319,Region 5,S09,2M,3,2,3,0,0,2,0,Premium,Medium,Rural
1323,Region 1,S01,1M,4,4,4,0,0,0,1,Premium,High,Rural
1331,Region 5,S10,1M,1,1,1,0,0,0,0,Standard,Low,Suburban
1333,Region 4,S07,2M,4,2,3,0,0,0,1,Premium,Medium,Urban
1344,Region 4,S07,2M,2,1,1,0,0,0,1,Standard,Low,Suburban
1349,Region 3,S06,2M,3,3,3,0,0,0,1,Entry,Low,Suburban
1350,Region 1,S02,1M,2,1,1,0,0,0,1,Standard,Medium,Rural
1365,Region 3,S06,2M,5,3,4,0,1,0,1,Standard,Medium,Suburban
1369,Region 2,S03,1M,2,1,2,0,0,0,1,Standard,High,Rural
1373,Region 3,S06,2M,6,4,4,0,0,0,0,Standard,Low,Urban
1385,Region 2,S12,1M,5,2,2,0,0,2,0,High Net Worth,Medium,Suburban
1388,Region 3,S05,1M,1,1,2,0,0,0,1,Standard,Low,Urban
1391,Region 2,S12,1M,3,2,3,0,0,1,1,Entry,Low,Urban
1403,Region 2,S12,2M,5,4,4,0,0,0,1,Standard,Medium,Urban
1407,Region 2,S12,2M,1,1,2,0,0,0,1,Standard,Medium,Rural
1414,Region 2,S12,1M,3,2,2,0,0,0,0,Standard,Medium,Suburban
1415,Region 1,S02,2M,3,3,3,0,0,0,1,Standard,High,Rural
1420,Region 2,S12,2M,5,4,4,0,0,0,0,High Net Worth,Medium,Rural
1425,Region 3,S05,2M,4,2,2,0,0,0,1,Premium,Low,Rural
1431,Region 2,S12,1M,3,2,2,0,0,0,1,Premium,Medium,Rural
1446,Region 4,S07,1M,6,5,5,0,0,0,0,Premium,Medium,Urban
1453,Region 5,S11,1M,2,2,2,0,0,0,1,Standard,High,Urban
1464,Region 3,S05,1M,4,3,3,0,0,0,1,Premium,High,Urban
1473,Region 1,S02,1M,5,4,5,1,0,0,1,Standard,Medium,Rural
1478,Region 2,S12,1M,4,3,3,0,0,0,1,Standard,Low,Suburban
1479,Region 3,S06,1M,3,1,2,0,0,0,1,Entry,Low,Urban
1481,Region 3,S06,2M,1,1,1,0,0,1,1,Entry,Medium,Urban
1521,Region 2,S04,2M,6,5,5,0,0,0,1,Premium,High,Urban
1544,Region 2,S03,1M,2,1,2,0,0,0,1,High Net Worth,High,Urban
1550,Region 2,S04,2M,2,1,1,0,1,0,1,Entry,Medium,Suburban
1551,Region 2,S03,2M,5,5,5,0,0,0,1,Premium,High,Rural
1567,Region 1,S02,1M,3,2,3,1,1,0,0,Standard,Medium,Suburban
1571,Region 3,S06,1M,3,2,3,1,0,0,0,Standard,Medium,Suburban
1573,Region 4,S07,2M,3,3,3,0,0,0,0,Standard,Low,Suburban
1575,Region 1,S02,1M,3,1,2,0,0,0,1,Standard,High,Suburban
1576,Region 2,S04,5M,4,3,3,0,1,0,1,Entry,Medium,Suburban
1577,Region 5,S10,1M,3,2,2,1,1,0,1,Standard,Medium,Urban
1582,Region 3,S05,1M,4,2,2,0,0,0,0,Premium,Medium,Suburban
1584,Region 2,S04,5M,3,2,2,0,0,0,1,Standard,Medium,Suburban
1587,Region 3,S05,1M,3,2,3,0,0,0,0,Entry,Medium,Urban
1593,Region 2,S12,1M,2,2,3,0,0,0,1,Entry,High,Urban
1600,Region 2,S04,1M,2,2,2,0,1,0,1,Standard,High,Urban
1633,Region 4,S08,2M,2,1,2,0,0,1,0,Entry,Low,Urban
1654,Region 2,S03,1M,2,1,1,0,0,0,1,Premium,Medium,Rural
1671,Region 3,S05,2M,6,4,4,0,0,1,1,Standard,Medium,Suburban
1685,Region 1,S02,1M,1,1,1,0,0,0,0,Entry,High,Rural
1693,Region 2,S04,1M,5,4,5,0,1,0,1,Premium,High,Suburban
1698,Region 5,S10,2M,4,2,2,0,0,0,0,Entry,Medium,Rural
1715,Region 3,S05,1M,5,4,4,1,0,1,1,Standard,Low,Suburban
1719,Region 4,S08,2M,2,1,2,0,0,0,0,Standard,High,Suburban
1729,Region 1,S01,2M,3,1,1,0,0,0,1,Standard,High,Urban
1737,Region 5,S11,2M,5,3,3,1,0,1,1,Entry,Medium,Urban
1739,Region 4,S07,1M,1,1,1,0,0,0,0,Premium,Low,Suburban
1743,Region 1,S01,2M,7,5,5,0,1,0,1,High Net Worth,Medium,Urban
1748,Region 4,S07,2M,2,1,1,0,0,0,1,Premium,Medium,Rural
1762,Region 2,S03,1M,1,1,1,0,0,0,0,Standard,Medium,Rural
1802,Region 4,S08,5M,5,5,5,0,0,1,1,Premium,Medium,Urban
1808,Region 3,S06,2M,2,1,2,0,0,0,0,Entry,Medium,Urban
1816,Region 4,S07,2M,2,2,2,0,0,0,1,Standard,Medium,Urban
1825,Region 5,S09,1M,4,4,4,0,0,0,0,Standard,High,Suburban
1842,Region 4,S07,1M,1,1,1,0,0,0,1,Entry,High,Urban
1861,Region 4,S08,1M,3,2,2,0,0,1,0,Premium,Medium,Suburban
1863,Region 2,S12,2M,2,2,2,0,0,0,0,Standard,Low,Urban
1867,Region 2,S12,2M,4,3,3,0,0,0,1,High Net Worth,High,Suburban
1871,Region 3,S05,2M,7,6,7,0,0,0,0,Premium,Low,Suburban
1880,Region 4,S07,2M,3,3,3,0,0,0,1,Premium,Medium,Suburban
1911,Region 1,S01,5M,6,5,5,0,0,1,1,Premium,Medium,Urban
1939,Region 2,S04,2M,2,1,1,0,1,0,0,Standard,High,Suburban
1957,Region 4,S07,1M,7,5,5,1,0,1,0,High Net Worth,Medium,Suburban
1967,Region 5,S09,2M,3,2,2,0,1,1,1,Premium,Low,Suburban
2030,Region 4,S08,1M,2,2,2,0,0,0,1,Premium,High,Rural
2038,Region 1,S01,2M,3,3,3,0,0,0,0,Premium,High,Urban
2041,Region 2,S04,1M,5,3,3,0,0,1,0,Standard,High,Urban
2047,Region 3,S06,1M,7,5,5,1,1,0,0,Premium,High,Urban
2060,Region 1,S01,2M,2,1,2,0,0,0,1,Standard,Medium,Rural
2063,Region 4,S07,2M,6,6,6,0,0,1,1,Standard,Medium,Suburban
2073,Region 2,S04,5M,3,2,3,0,0,0,1,Entry,Medium,Urban
2087,Region 3,S05,5M,4,3,3,1,1,0,0,Premium,Low,Rural
2098,Region 3,S06,1M,2,2,2,0,0,0,1,Standard,Low,Suburban
2099,Region 1,S02,1M,6,4,4,0,0,0,1,High Net Worth,High,Urban
2100,Region 2,S04,1M,2,1,1,0,0,1,0,Premium,High,Urban
2105,Region 4,S08,1M,4,3,3,0,0,1,1,High Net Worth,Low,Suburban
2108,Region 2,S12,2M,4,3,3,0,1,0,0,Premium,High,Suburban
2126,Region 3,S05,1M,4,2,2,0,0,0,0,Standard,Low,Suburban
2130,Region 1,S01,2M,3,2,2,1,0,0,1,Entry,High,Urban
2169,Region 3,S05,1M,1,1,1,0,1,0,1,Standard,Medium,Rural
2175,Region 3,S05,1M,4,3,3,0,0,2,0,Standard,Medium,Urban
2181,Region 5,S10,1M,1,1,1,0,1,1,1,Premium,Medium,Rural
2183,Region 5,S10,2M,3,1,1,0,0,0,1,Standard,High,Suburban
2189,Region 2,S04,1M,5,4,4,0,0,0,0,Entry,Medium,Suburban
2212,Region 3,S06,5M,2,1,2,0,0,0,1,Premium,Low,Urban
2213,Region 5,S11,5M,4,4,4,0,0,0,0,Premium,Low,Urban
2221,Region 3,S05,1M,4,2,2,0,0,0,1,Premium,Medium,Suburban
2236,Region 5,S11,2M,2,1,1,0,0,0,0,Entry,Medium,Suburban
2246,Region 2,S03,1M,2,2,3,0,0,0,1,Entry,High,Rural
2260,Region 3,S06,5M,3,2,3,0,1,0,1,Entry,High,Suburban
2268,Region 4,S07,2M,4,3,3,0,0,0,0,Standard,Medium,Rural
2269,Region 5,S09,1M,7,5,5,0,0,1,1,Entry,Medium,Suburban
2281,Region 3,S06,1M,3,3,3,0,0,0,1,Standard,High,Suburban
2291,Region 2,S12,5M,3,2,2,0,0,1,1,Premium,Low,Rural
2299,Region 1,S01,1M,2,2,3,0,0,0,0,Standard,Medium,Suburban
2300,Region 5,S09,1M,6,4,4,0,0,1,0,High Net Worth,Medium,Urban
2310,Region 5,S11,1M,2,2,2,1,0,0,0,Entry,High,Urban
2321,Region 1,S01,1M,3,2,3,0,0,0,0,Standard,Medium,Rural
2323,Region 3,S06,2M,5,4,4,0,0,1,0,Standard,Medium,Suburban
2324,Region 1,S02,1M,3,3,3,0,0,0,0,Standard,Medium,Urban
2328,Region 2,S03,1M,5,3,3,0,0,0,1,Standard,High,Rural
2334,Region 2,S03,1M,1,1,1,0,0,0,0,Premium,Medium,Suburban
2339,Region 4,S07,1M,4,2,2,0,1,1,1,High Net Worth,Low,Rural
2340,Region 1,S02,2M,3,3,3,0,0,0,1,Standard,High,Urban
2350,Region 1,S01,5M,3,3,3,0,0,0,0,Entry,High,Rural
2358,Region 4,S07,2M,7,5,5,0,0,0,1,High Net Worth,High,Suburban
2361,Region 5,S10,5M,8,6,6,0,0,1,1,Premium,Low,Urban
2363,Region 3,S06,1M,5,2,3,0,0,0,1,High Net Worth,Medium,Urban
2377,Region 5,S11,1M,4,3,3,0,0,0,0,Entry,Medium,Urban
2391,Region 4,S08,1M,4,2,2,0,0,0,0,Entry,Medium,Urban
2392,Region 5,S10,1M,2,1,1,0,1,0,1,Standard,Medium,Urban
2399,Region 1,S02,2M,4,3,3,1,0,0,0,Premium,Low,Rural
2410,Region 2,S12,1M,4,3,3,0,0,1,0,Premium,Medium,Suburban
2437,Region 4,S08,2M,2,1,1,0,0,0,1,Entry,High,Suburban
2438,Region 5,S09,1M,3,2,2,0,0,0,1,Premium,Medium,Suburban
2440,Region 5,S10,1M,3,3,4,0,0,0,1,Entry,Medium,Urban
2442,Region 2,S03,1M,2,1,2,0,0,0,0,Standard,Medium,Suburban
2443,Region 2,S03,1M,4,3,3,0,0,0,0,Standard,Medium,Suburban
2448,Region 3,S06,2M,5,4,4,0,0,1,1,Standard,High,Rural
2450,Region 4,S08,1M,5,3,3,0,0,0,0,Premium,Medium,Urban
2466,Region 5,S09,1M,3,2,2,0,0,0,0,Entry,High,Suburban
2469,Region 4,S08,1M,1,1,2,0,0,0,0,Standard,High,Rural
2484,Region 3,S05,1M,5,4,4,0,0,0,1,Entry,Medium,Rural
2494,Region 2,S12,1M,5,3,3,0,0,1,1,High Net Worth,Low,Urban
2496,Region 4,S07,1M,1,1,1,0,0,0,0,Standard,Low,Suburban
2503,Region 2,S12,5M,4,2,3,0,1,0,0,Entry,High,Suburban
2514,Region 1,S02,2M,4,2,2,0,0,0,1,Standard,High,Suburban
2515,Region 2,S04,5M,3,2,2,0,0,0,0,Entry,Medium,Rural
2523,Region 3,S05,1M,2,2,2,0,0,0,0,Premium,Low,Urban
2528,Region 5,S11,2M,3,2,2,0,0,1,1,Standard,High,Urban
2531,Region 4,S08,2M,4,2,2,0,0,0,1,Entry,Low,Urban
2541,Region 4,S07,1M,5,3,3,0,0,0,1,Entry,Low,Suburban
2543,Region 3,S05,1M,2,1,1,0,0,0,0,Standard,Medium,Suburban
2545,Region 4,S07,1M,4,3,3,0,0,0,1,Entry,Medium,Suburban
2547,Region 2,S12,2M,4,3,4,0,0,0,0,Standard,High,Urban
2548,Region 2,S03,2M,5,3,3,0,0,1,0,Premium,Medium,Suburban
2593,Region 4,S08,5M,1,1,1,0,0,0,1,Standard,Medium,Suburban
2606,Region 2,S03,2M,4,4,5,0,0,1,1,Entry,High,Suburban
2609,Region 5,S09,1M,4,3,4,0,0,0,0,Premium,High,Urban
2626,Region 3,S06,1M,4,3,3,0,1,0,0,Entry,High,Urban
2631,Region 1,S02,5M,4,2,2,0,0,0,1,Standard,High,Urban
2634,Region 4,S08,1M,3,1,2,1,0,0,1,Entry,Low,Suburban
2645,Region 2,S04,2M,3,2,2,0,0,0,0,Standard,High,Urban
2649,Region 5,S09,5M,3,2,3,0,0,1,0,Standard,Medium,Urban
2661,Region 5,S11,1M,2,1,1,0,1,1,1,Standard,High,Suburban
2663,Region 3,S05,1M,6,5,5,0,0,0,0,Premium,High,Suburban
2688,Region 5,S09,1M,4,3,3,0,1,0,0,High Net Worth,Low,Rural
2695,Region 5,S11,1M,2,2,2,0,0,1,1,Standard,High,Urban
2714,Region 2,S03,5M,3,1,1,0,0,0,1,Entry,High,Urban
2728,Region 2,S03,5M,4,3,3,0,0,1,1,Standard,Medium,Urban
2731,Region 1,S01,1M,8,5,5,0,0,1,0,High Net Worth,Medium,Urban
2732,Region 2,S04,2M,2,1,1,0,0,0,0,Standard,Medium,Rural
2741,Region 1,S02,2M,4,4,4,0,0,0,0,Standard,High,Suburban
2743,Region 2,S03,1M,2,2,2,0,0,0,0,Entry,High,Urban
2745,Region 3,S05,1M,4,3,4,0,0,0,1,Premium,Medium,Rural
2765,Region 1,S02,1M,7,5,5,0,0,0,0,Standard,Low,Rural
2772,Region 5,S10,2M,2,2,2,0,1,0,1,Standard,Medium,Urban
2784,Region 3,S05,1M,4,3,4,0,1,0,0,Entry,Medium,Urban
2786,Region 5,S09,2M,8,6,6,0,0,0,1,Standard,High,Urban
2788,Region 4,S07,5M,4,2,3,0,0,0,0,Standard,Medium,Urban
2789,Region 2,S12,1M,3,1,1,0,0,1,0,Standard,High,Urban
2790,Region 3,S05,2M,4,3,3,0,0,0,1,Standard,High,Urban
2798,Region 3,S05,2M,1,1,1,0,0,0,0,Entry,Medium,Urban
2806,Region 2,S04,2M,3,3,3,0,0,0,1,Standard,Medium,Suburban
2821,Region 2,S04,1M,2,1,2,0,0,1,0,Standard,High,Suburban
2874,Region 2,S04,2M,6,3,3,0,0,0,1,High Net Worth,Low,Urban
2892,Region 2,S12,2M,4,4,4,0,0,0,0,Premium,Medium,Urban
2938,Region 1,S02,1M,6,4,4,1,0,0,1,Standard,Low,Urban
2947,Region 3,S05,2M,2,2,3,0,1,0,1,Entry,High,Urban
2951,Region 2,S03,1M,4,4,5,0,0,1,0,Entry,Medium,Suburban
2953,Region 2,S03,1M,2,2,2,0,0,1,0,Entry,Low,Suburban
2955,Region 4,S07,1M,4,3,3,0,0,0,0,Standard,High,Suburban
2969,Region 4,S07,1M,1,1,1,1,0,1,1,Standard,Medium,Suburban
2997,Region 4,S08,1M,5,4,4,0,0,0,0,Standard,High,Suburban
2998,Region 2,S04,1M,3,2,2,0,0,0,1,Standard,Medium,Urban
3000,Region 1,S02,5M,4,3,4,0,0,0,1,Standard,High,Suburban
3017,Region 2,S12,2M,3,2,2,0,0,0,0,Standard,Medium,Suburban
3023,Region 3,S06,1M,3,2,3,0,0,0,0,Standard,Medium,Rural
3028,Region 5,S11,2M,2,2,3,0,0,0,1,Standard,High,Suburban
3030,Region 3,S05,1M,2,2,3,0,0,0,0,Premium,High,Rural
3031,Region 5,S10,5M,8,6,7,0,0,0,0,High Net Worth,Low,Suburban
3048,Region 4,S08,2M,4,3,3,0,0,0,0,Premium,High,Suburban
3051,Region 5,S11,5M,3,3,3,0,0,0,0,Entry,High,Rural
3086,Region 3,S05,1M,1,1,1,0,0,0,1,Standard,Medium,Suburban
3095,Region 3,S06,1M,3,2,2,0,0,0,1,Standard,High,Suburban
3103,Region 2,S12,1M,4,3,3,0,0,0,1,Standard,Medium,Rural
3113,Region 5,S09,2M,5,4,4,0,0,0,1,Entry,Low,Suburban
3117,Region 2,S03,5M,2,1,1,0,0,0,0,Entry,Low,Suburban
3137,Region 5,S11,1M,4,3,3,0,0,0,1,Standard,Medium,Suburban
3138,Region 1,S01,2M,1,1,1,0,0,1,1,Premium,Medium,Rural
3154,Region 1,S02,1M,3,3,3,0,0,0,1,Premium,Low,Urban
3167,Region 1,S02,2M,7,4,4,0,0,0,1,High Net Worth,Medium,Suburban
3173,Region 5,S09,2M,2,1,1,0,0,0,0,Standard,High,Suburban
3183,Region 3,S06,5M,4,2,2,0,0,0,1,High Net Worth,Medium,Suburban
3201,Region 5,S10,5M,5,3,3,1,0,0,1,Standard,Medium,Suburban
3222,Region 5,S10,2M,6,4,5,1,0,0,1,High Net Worth,Medium,Suburban
3223,Region 5,S10,1M,2,2,3,0,0,0,1,Standard,Medium,Rural
3230,Region 3,S06,1M,4,2,2,0,0,0,1,Standard,High,Suburban
3232,Region 1,S02,1M,6,4,4,1,1,0,1,Standard,Medium,Rural
3236,Region 2,S03,1M,3,3,4,0,0,0,0,Premium,High,Suburban
3238,Region 2,S04,2M,6,3,3,0,0,0,1,High Net Worth,Low,Rural
3242,Region 4,S07,1M,5,3,3,0,0,1,0,Premium,Medium,Urban
3254,Region 3,S06,2M,2,1,1,0,0,1,1,Entry,Medium,Urban
3255,Region 1,S01,1M,4,3,3,0,0,1,1,High Net Worth,Low,Suburban
3279,Region 3,S05,2M,4,3,3,0,0,0,0,Standard,Medium,Suburban
3283,Region 2,S04,2M,4,3,3,0,0,0,0,Entry,Medium,Suburban
