profile_id,region_code,state_code,coverage_limit,num_vehicles,num_drivers,prior_claim_count,youth_driver_flag,multi_policy_flag,home_value_band,credit_score_band,urban_rural_flag,carrier,risk_score,simulated_price
455,Region 1,S02,1M,3,1,0,0,1,Entry,Medium,Urban,Carrier_A,1.0550000000000002,469.52
458,Region 3,S06,1M,2,1,0,0,0,Standard,High,Rural,Carrier_A,1.055,429.99
467,Region 4,S08,1M,2,1,0,0,1,Standard,Low,Suburban,Carrier_A,1.0,498.75
475,Region 2,S04,1M,2,2,0,0,0,Entry,Medium,Suburban,Carrier_A,1.1,497.24
477,Region 3,S06,1M,2,1,0,0,1,Entry,Medium,Urban,Carrier_A,1.0,442.41
485,Region 1,S01,5M,4,3,0,0,0,Entry,Low,Suburban,Carrier_A,1.255,1068.63
492,Region 4,S08,2M,3,3,0,1,1,Standard,Medium,Suburban,Carrier_A,1.3650000000000002,723.69
495,Region 5,S10,5M,1,1,0,0,0,Standard,High,Urban,Carrier_A,1.0,960.32
503,Region 2,S12,1M,3,2,0,0,1,Standard,Medium,Suburban,Carrier_A,1.16,478.2
506,Region 5,S10,2M,8,5,0,0,1,High Net Worth,Medium,Suburban,Carrier_A,1.51,1005.78
517,Region 3,S05,1M,4,3,0,0,1,Premium,Medium,Urban,Carrier_A,1.2000000000000002,611.25
573,Region 3,S06,2M,2,1,0,0,1,Premium,High,Urban,Carrier_A,1.0,608.68
574,Region 5,S10,1M,3,3,0,0,0,Standard,Medium,Suburban,Carrier_A,1.2000000000000002,533.15
576,Region 4,S07,1M,3,2,0,0,1,Premium,High,Rural,Carrier_A,1.1,471.94
579,Region 5,S11,1M,6,6,0,0,0,Premium,High,Urban,Carrier_A,1.5,693.42
586,Region 4,S08,2M,6,4,1,0,0,Standard,Medium,Suburban,Carrier_A,1.72,850.71
615,Region 2,S04,2M,4,3,0,0,1,Entry,High,Urban,Carrier_A,1.2000000000000002,682.78
617,Region 5,S09,1M,6,5,0,0,1,Premium,High,Suburban,Carrier_A,1.4,605.28
619,Region 1,S02,1M,3,3,0,0,1,Premium,Medium,Suburban,Carrier_A,1.1450000000000002,533.68
633,Region 1,S01,2M,2,2,0,0,0,Standard,Medium,Suburban,Carrier_A,1.1,615.0
648,Region 4,S07,5M,3,2,0,0,0,Entry,Low,Suburban,Carrier_A,1.155,1000.34
652,Region 5,S11,2M,7,5,0,0,1,Standard,Medium,Suburban,Carrier_A,1.455,862.67
656,Region 3,S05,5M,2,2,0,0,0,Premium,Medium,Suburban,Carrier_A,1.1,1176.06
670,Region 3,S06,5M,4,4,0,0,0,Entry,Medium,Rural,Carrier_A,1.3,911.59
674,Region 5,S09,1M,5,4,0,1,1,Premium,High,Urban,Carrier_A,1.46,651.41
691,Region 2,S04,1M,1,1,1,0,1,Standard,High,Suburban,Carrier_A,1.195,527.11
696,Region 4,S07,1M,5,5,0,0,1,Standard,Low,Suburban,Carrier_A,1.345,573.16
699,Region 4,S08,1M,4,3,0,0,1,Standard,Medium,Suburban,Carrier_A,1.2000000000000002,510.21
702,Region 3,S05,2M,2,1,0,0,1,Entry,High,Rural,Carrier_A,1.0,548.95
709,Region 3,S06,2M,2,1,0,0,1,Standard,High,Suburban,Carrier_A,1.0,540.29
713,Region 5,S10,1M,3,3,0,0,0,Standard,Medium,Urban,Carrier_A,1.2000000000000002,558.81
757,Region 3,S05,1M,4,3,0,0,1,Premium,Medium,Urban,Carrier_A,1.2000000000000002,609.4
759,Region 1,S01,5M,3,2,0,0,1,Entry,Medium,Rural,Carrier_A,1.1,829.37
774,Region 5,S11,1M,4,3,1,0,1,Standard,Medium,Suburban,Carrier_A,1.4500000000000002,633.92
778,Region 2,S03,2M,3,3,0,0,0,Standard,Medium,Urban,Carrier_A,1.2000000000000002,717.02
785,Region 2,S12,5M,4,3,1,0,0,Entry,Medium,Urban,Carrier_A,1.505,1131.51
789,Region 5,S10,1M,3,2,0,0,0,Standard,Low,Rural,Carrier_A,1.215,560.28
794,Region 1,S02,1M,4,2,0,0,0,Standard,Medium,Suburban,Carrier_A,1.21,512.46
803,Region 5,S11,1M,4,3,0,1,0,Entry,Medium,Rural,Carrier_A,1.475,578.67
805,Region 1,S02,1M,5,4,0,0,1,Standard,Low,Urban,Carrier_A,1.3,599.32
821,Region 1,S01,2M,2,1,0,1,0,Entry,High,Suburban,Carrier_A,1.215,584.34
822,Region 4,S08,1M,4,3,0,0,0,Premium,High,Rural,Carrier_A,1.255,516.43
834,Region 5,S09,1M,3,2,0,0,1,Standard,Medium,Urban,Carrier_A,1.1,539.06
843,Region 4,S07,2M,3,2,1,0,1,Entry,Low,Urban,Carrier_A,1.41,771.57
853,Region 5,S11,1M,2,1,0,0,1,Standard,Medium,Suburban,Carrier_A,1.0,510.04
857,Region 5,S09,2M,4,3,0,0,1,Entry,Medium,Urban,Carrier_A,1.2000000000000002,709.05
867,Region 5,S11,2M,4,4,0,0,1,Premium,Low,Suburban,Carrier_A,1.3050000000000002,964.48
877,Region 3,S05,1M,4,3,1,0,1,Standard,High,Suburban,Carrier_A,1.4500000000000002,578.85
881,Region 3,S06,5M,5,3,0,0,0,Standard,High,Rural,Carrier_A,1.31,929.03
884,Region 3,S06,1M,1,1,0,0,0,Premium,Medium,Rural,Carrier_A,1.0,461.85
887,Region 3,S05,1M,5,4,0,0,0,Standard,Medium,Urban,Carrier_A,1.355,611.35
897,Region 2,S04,1M,3,2,0,0,1,Standard,Medium,Rural,Carrier_A,1.1,511.66
921,Region 1,S02,2M,6,6,0,0,1,Premium,Medium,Suburban,Carrier_A,1.445,816.86
924,Region 4,S07,1M,1,1,0,0,1,Entry,Medium,Suburban,Carrier_A,0.945,424.8
929,Region 4,S08,1M,2,1,3,0,0,Premium,High,Urban,Carrier_A,2.285,815.38
934,Region 5,S10,1M,1,1,0,0,0,Standard,High,Suburban,Carrier_A,1.0,465.19
950,Region 3,S05,2M,5,3,2,0,0,Standard,High,Urban,Carrier_A,1.97,1015.41
954,Region 2,S03,2M,5,4,0,0,0,Standard,High,Suburban,Carrier_A,1.355,703.0
966,Region 3,S06,1M,1,1,0,0,0,Standard,Medium,Suburban,Carrier_A,1.0,446.38
967,Region 2,S12,2M,7,6,1,0,1,Standard,Low,Urban,Carrier_A,1.7500000000000002,941.16
980,Region 2,S03,2M,3,2,0,0,1,Premium,Low,Urban,Carrier_A,1.16,842.39
981,Region 2,S12,1M,5,4,0,1,1,High Net Worth,High,Suburban,Carrier_A,1.52,621.1
986,Region 2,S12,1M,7,6,0,0,1,Standard,Medium,Rural,Carrier_A,1.5000000000000002,530.41
1004,Region 2,S03,2M,1,1,0,0,1,Standard,Medium,Suburban,Carrier_A,0.945,589.23
1023,Region 2,S12,1M,4,3,0,1,1,High Net Worth,Low,Suburban,Carrier_A,1.36,659.16
1026,Region 3,S05,1M,3,1,0,0,1,Standard,High,Suburban,Carrier_A,1.0550000000000002,483.35
1033,Region 4,S07,1M,1,1,1,0,1,Premium,Medium,Suburban,Carrier_A,1.195,530.78
1044,Region 5,S09,1M,6,6,0,1,1,Standard,Low,Rural,Carrier_A,1.605,672.09
1046,Region 3,S05,5M,2,2,0,1,1,Premium,Medium,Urban,Carrier_A,1.2049999999999998,1346.35
1054,Region 2,S03,1M,3,3,0,0,1,Standard,Medium,Suburban,Carrier_A,1.1450000000000002,506.47
1055,Region 2,S04,2M,5,3,1,0,1,Premium,Low,Suburban,Carrier_A,1.505,1050.4
1058,Region 2,S03,2M,6,4,0,0,1,Standard,Medium,Urban,Carrier_A,1.355,784.06
1060,Region 5,S09,1M,3,3,0,1,0,Premium,High,Suburban,Carrier_A,1.4200000000000002,613.11
1061,Region 2,S12,5M,4,4,1,0,1,Standard,Medium,Rural,Carrier_A,1.495,1095.57
1071,Region 5,S11,2M,3,1,0,0,1,Entry,Medium,Suburban,Carrier_A,1.0550000000000002,645.53
1092,Region 4,S08,5M,5,4,0,0,0,Entry,High,Urban,Carrier_A,1.415,1074.64
1123,Region 5,S10,5M,4,2,0,0,0,Entry,Low,Rural,Carrier_A,1.21,1084.33
1127,Region 4,S07,1M,7,5,0,0,1,Standard,High,Rural,Carrier_A,1.455,511.5
1138,Region 3,S06,1M,4,3,0,0,1,Standard,Medium,Urban,Carrier_A,1.2000000000000002,506.93
1140,Region 5,S09,1M,3,1,0,0,1,Standard,Medium,Suburban,Carrier_A,1.0550000000000002,504.51
1147,Region 5,S09,1M,5,5,1,1,1,Premium,Medium,Suburban,Carrier_A,1.755,739.73
1153,Region 1,S02,1M,4,3,0,0,1,Standard,High,Urban,Carrier_A,1.2000000000000002,509.56
1163,Region 5,S10,1M,4,4,0,0,1,Entry,Low,Rural,Carrier_A,1.245,533.32
1166,Region 5,S11,1M,2,2,0,0,1,Entry,Low,Rural,Carrier_A,1.045,512.43
1170,Region 1,S02,5M,2,2,0,0,1,Entry,High,Suburban,Carrier_A,1.045,819.36
1176,Region 5,S10,2M,2,2,0,0,0,Standard,Medium,Suburban,Carrier_A,1.1,661.61
1177,Region 3,S06,5M,2,1,0,0,0,Premium,High,Suburban,Carrier_A,1.055,905.06
1183,Region 1,S02,5M,3,2,0,0,0,Standard,Medium,Rural,Carrier_A,1.215,999.42
1197,Region 2,S04,2M,4,4,0,1,1,Entry,High,Urban,Carrier_A,1.405,755.81
1200,Region 5,S09,1M,6,4,0,1,1,High Net Worth,Low,Urban,Carrier_A,1.515,860.68
1222,Region 2,S04,1M,3,3,0,0,0,Premium,High,Suburban,Carrier_A,1.2000000000000002,566.45
1225,Region 2,S03,1M,2,2,0,0,0,Premium,High,Urban,Carrier_A,1.1,527.42
1231,Region 2,S04,5M,2,1,0,0,0,Standard,Medium,Rural,Carrier_A,1.055,1006.3
1247,Region 4,S08,1M,3,2,0,1,0,Premium,High,Urban,Carrier_A,1.375,589.71
1249,Region 5,S11,1M,2,2,0,0,1,Standard,High,Urban,Carrier_A,1.045,522.08
1256,Region 5,S11,2M,3,2,0,0,1,Premium,Low,Suburban,Carrier_A,1.1,851.28
1257,Region 5,S10,5M,2,1,0,0,1,Standard,Medium,Suburban,Carrier_A,1.06,1005.41
1310,Region 2,S12,1M,2,1,0,0,1,Premium,Medium,Suburban,Carrier_A,1.0,472.27
1319,Region 5,S09,2M,3,2,2,0,0,Premium,Medium,Rural,Carrier_A,1.815,1006.03
1323,Region 1,S01,1M,4,4,0,0,1,Premium,High,Rural,Carrier_A,1.245,504.35
1331,Region 5,S10,1M,1,1,0,0,0,Standard,Low,Suburban,Carrier_A,1.0,520.16
1333,Region 4,S07,2M,4,2,0,0,1,Premium,Medium,Urban,Carrier_A,1.155,723.43
1344,Region 4,S07,2M,2,1,0,0,1,Standard,Low,Suburban,Carrier_A,1.0,629.81
1349,Region 3,S06,2M,3,3,0,0,1,Entry,Low,Suburban,Carrier_A,1.1450000000000002,620.76
1350,Region 1,S02,1M,2,1,0,0,1,Standard,Medium,Rural,Carrier_A,1.0,453.57
1365,Region 3,S06,2M,5,3,0,0,1,Standard,Medium,Suburban,Carrier_A,1.3150000000000002,668.79
1369,Region 2,S03,1M,2,1,0,0,1,Standard,High,Rural,Carrier_A,1.0,444.51
1373,Region 3,S06,2M,6,4,0,0,0,Standard,Low,Urban,Carrier_A,1.41,807.77
1385,Region 2,S12,1M,5,2,2,0,0,High Net Worth,Medium,Suburban,Carrier_A,1.925,759.39
1388,Region 3,S05,1M,1,1,0,0,1,Standard,Low,Urban,Carrier_A,0.945,536.72
1391,Region 2,S12,1M,3,2,1,0,1,Entry,Low,Urban,Carrier_A,1.35,550.27
1403,Region 2,S12,2M,5,4,0,0,1,Standard,Medium,Urban,Carrier_A,1.3,697.81
1407,Region 2,S12,2M,1,1,0,0,1,Standard,Medium,Rural,Carrier_A,0.945,532.85
1414,Region 2,S12,1M,3,2,0,0,0,Standard,Medium,Suburban,Carrier_A,1.155,477.65
1415,Region 1,S02,2M,3,3,0,0,1,Standard,High,Rural,Carrier_A,1.1450000000000002,589.82
1420,Region 2,S12,2M,5,4,0,0,0,High Net Worth,Medium,Rural,Carrier_A,1.355,786.26
1425,Region 3,S05,2M,4,2,0,0,1,Premium,Low,Rural,Carrier_A,1.155,794.04
1431,Region 2,S12,1M,3,2,0,0,1,Premium,Medium,Rural,Carrier_A,1.1,481.38
1446,Region 4,S07,1M,6,5,0,0,0,Premium,Medium,Urban,Carrier_A,1.4549999999999998,626.21
1453,Region 5,S11,1M,2,2,0,0,1,Standard,High,Urban,Carrier_A,1.045,519.54
1464,Region 3,S05,1M,4,3,0,0,1,Premium,High,Urban,Carrier_A,1.2000000000000002,583.6
1473,Region 1,S02,1M,5,4,0,1,1,Standard,Medium,Rural,Carrier_A,1.46,552.12
1478,Region 2,S12,1M,4,3,0,0,1,Standard,Low,Suburban,Carrier_A,1.2000000000000002,522.89
1479,Region 3,S06,1M,3,1,0,0,1,Entry,Low,Urban,Carrier_A,1.0550000000000002,481.26
1481,Region 3,S06,2M,1,1,1,0,1,Entry,Medium,Urban,Carrier_A,1.195,617.23
1521,Region 2,S04,2M,6,5,0,0,1,Premium,High,Urban,Carrier_A,1.4,896.4
1544,Region 2,S03,1M,2,1,0,0,1,High Net Worth,High,Urban,Carrier_A,1.0,545.36
1550,Region 2,S04,2M,2,1,0,0,1,Entry,Medium,Suburban,Carrier_A,1.06,637.99
1551,Region 2,S03,2M,5,5,0,0,1,Premium,High,Rural,Carrier_A,1.345,729.63
1567,Region 1,S02,1M,3,2,0,1,0,Standard,Medium,Suburban,Carrier_A,1.375,547.45
1571,Region 3,S06,1M,3,2,0,1,0,Standard,Medium,Suburban,Carrier_A,1.315,513.02
1573,Region 4,S07,2M,3,3,0,0,0,Standard,Low,Suburban,Carrier_A,1.2000000000000002,706.84
1575,Region 1,S02,1M,3,1,0,0,1,Standard,High,Suburban,Carrier_A,1.0550000000000002,457.68
1576,Region 2,S04,5M,4,3,0,0,1,Entry,Medium,Suburban,Carrier_A,1.2600000000000002,1111.0
1577,Region 5,S10,1M,3,2,0,1,1,Standard,Medium,Urban,Carrier_A,1.32,584.43
1582,Region 3,S05,1M,4,2,0,0,0,Premium,Medium,Suburban,Carrier_A,1.21,585.93
1584,Region 2,S04,5M,3,2,0,0,1,Standard,Medium,Suburban,Carrier_A,1.1,1087.44
1587,Region 3,S05,1M,3,2,0,0,0,Entry,Medium,Urban,Carrier_A,1.155,526.59
1593,Region 2,S12,1M,2,2,0,0,1,Entry,High,Urban,Carrier_A,1.045,432.86
1600,Region 2,S04,1M,2,2,0,0,1,Standard,High,Urban,Carrier_A,1.105,528.45
1633,Region 4,S08,2M,2,1,1,0,0,Entry,Low,Urban,Carrier_A,1.305,751.38
1654,Region 2,S03,1M,2,1,0,0,1,Premium,Medium,Rural,Carrier_A,1.0,491.19
1671,Region 3,S05,2M,6,4,1,0,1,Standard,Medium,Suburban,Carrier_A,1.605,877.09
1685,Region 1,S02,1M,1,1,0,0,0,Entry,High,Rural,Carrier_A,1.0,415.96
1693,Region 2,S04,1M,5,4,0,0,1,Premium,High,Suburban,Carrier_A,1.36,612.94
1698,Region 5,S10,2M,4,2,0,0,0,Entry,Medium,Rural,Carrier_A,1.21,632.74
1715,Region 3,S05,1M,5,4,1,1,1,Standard,Low,Suburban,Carrier_A,1.71,733.2
1719,Region 4,S08,2M,2,1,0,0,0,Standard,High,Suburban,Carrier_A,1.055,582.9
1729,Region 1,S01,2M,3,1,0,0,1,Standard,High,Urban,Carrier_A,1.0550000000000002,594.85
1737,Region 5,S11,2M,5,3,1,1,1,Entry,Medium,Urban,Carrier_A,1.665,929.82
1739,Region 4,S07,1M,1,1,0,0,0,Premium,Low,Suburban,Carrier_A,1.0,521.02
1743,Region 1,S01,2M,7,5,0,0,1,High Net Worth,Medium,Urban,Carrier_A,1.515,972.92
1748,Region 4,S07,2M,2,1,0,0,1,Premium,Medium,Rural,Carrier_A,1.0,599.58
1762,Region 2,S03,1M,1,1,0,0,0,Standard,Medium,Rural,Carrier_A,1.0,460.74
1802,Region 4,S08,5M,5,5,1,0,1,Premium,Medium,Urban,Carrier_A,1.595,1530.43
1808,Region 3,S06,2M,2,1,0,0,0,Entry,Medium,Urban,Carrier_A,1.055,576.73
1816,Region 4,S07,2M,2,2,0,0,1,Standard,Medium,Urban,Carrier_A,1.045,628.22
1825,Region 5,S09,1M,4,4,0,0,0,Standard,High,Suburban,Carrier_A,1.3,545.01
1842,Region 4,S07,1M,1,1,0,0,1,Entry,High,Urban,Carrier_A,0.945,421.42
1861,Region 4,S08,1M,3,2,1,0,0,Premium,Medium,Suburban,Carrier_A,1.405,595.35
1863,Region 2,S12,2M,2,2,0,0,0,Standard,Low,Urban,Carrier_A,1.1,686.49
1867,Region 2,S12,2M,4,3,0,0,1,High Net Worth,High,Suburban,Carrier_A,1.2000000000000002,713.01
1871,Region 3,S05,2M,7,6,0,0,0,Premium,Low,Suburban,Carrier_A,1.5550000000000002,1034.33
1880,Region 4,S07,2M,3,3,0,0,1,Premium,Medium,Suburban,Carrier_A,1.1450000000000002,678.88
1911,Region 1,S01,5M,6,5,1,0,1,Premium,Medium,Urban,Carrier_A,1.65,1533.28
1939,Region 2,S04,2M,2,1,0,0,0,Standard,High,Suburban,Carrier_A,1.115,668.36
1957,Region 4,S07,1M,7,5,1,1,0,High Net Worth,Medium,Suburban,Carrier_A,1.92,778.89
1967,Region 5,S09,2M,3,2,1,0,1,Premium,Low,Suburban,Carrier_A,1.41,972.61
2030,Region 4,S08,1M,2,2,0,0,1,Premium,High,Rural,Carrier_A,1.045,469.49
2038,Region 1,S01,2M,3,3,0,0,0,Premium,High,Urban,Carrier_A,1.2000000000000002,700.24
2041,Region 2,S04,1M,5,3,1,0,0,Standard,High,Urban,Carrier_A,1.56,643.98
2047,Region 3,S06,1M,7,5,0,1,0,Premium,High,Urban,Carrier_A,1.73,642.48
2060,Region 1,S01,2M,2,1,0,0,1,Standard,Medium,Rural,Carrier_A,1.0,559.17
2063,Region 4,S07,2M,6,6,1,0,1,Standard,Medium,Suburban,Carrier_A,1.695,823.06
2073,Region 2,S04,5M,3,2,0,0,1,Entry,Medium,Urban,Carrier_A,1.1,1071.98
2087,Region 3,S05,5M,4,3,0,1,0,Premium,Low,Rural,Carrier_A,1.475,1569.05
2098,Region 3,S06,1M,2,2,0,0,1,Standard,Low,Suburban,Carrier_A,1.045,485.12
2099,Region 1,S02,1M,6,4,0,0,1,High Net Worth,High,Urban,Carrier_A,1.355,634.36
2100,Region 2,S04,1M,2,1,1,0,0,Premium,High,Urban,Carrier_A,1.305,627.64
2105,Region 4,S08,1M,4,3,1,0,1,High Net Worth,Low,Suburban,Carrier_A,1.4500000000000002,727.6
2108,Region 2,S12,2M,4,3,0,0,0,Premium,High,Suburban,Carrier_A,1.3150000000000002,683.99
2126,Region 3,S05,1M,4,2,0,0,0,Standard,Low,Suburban,Carrier_A,1.21,587.24
2130,Region 1,S01,2M,3,2,0,1,1,Entry,High,Urban,Carrier_A,1.26,627.2
2169,Region 3,S05,1M,1,1,0,0,1,Standard,Medium,Rural,Carrier_A,1.005,479.97
2175,Region 3,S05,1M,4,3,2,0,0,Standard,Medium,Urban,Carrier_A,1.9150000000000005,759.07
2181,Region 5,S10,1M,1,1,1,0,1,Premium,Medium,Rural,Carrier_A,1.255,564.68
2183,Region 5,S10,2M,3,1,0,0,1,Standard,High,Suburban,Carrier_A,1.0550000000000002,612.01
2189,Region 2,S04,1M,5,4,0,0,0,Entry,Medium,Suburban,Carrier_A,1.355,560.39
2212,Region 3,S06,5M,2,1,0,0,1,Premium,Low,Urban,Carrier_A,1.0,1084.47
2213,Region 5,S11,5M,4,4,0,0,0,Premium,Low,Urban,Carrier_A,1.3,1676.46
2221,Region 3,S05,1M,4,2,0,0,1,Premium,Medium,Suburban,Carrier_A,1.155,568.55
2236,Region 5,S11,2M,2,1,0,0,0,Entry,Medium,Suburban,Carrier_A,1.055,648.38
2246,Region 2,S03,1M,2,2,0,0,1,Entry,High,Rural,Carrier_A,1.045,431.19
2260,Region 3,S06,5M,3,2,0,0,1,Entry,High,Suburban,Carrier_A,1.16,822.41
2268,Region 4,S07,2M,4,3,0,0,0,Standard,Medium,Rural,Carrier_A,1.255,641.37
2269,Region 5,S09,1M,7,5,1,0,1,Entry,Medium,Suburban,Carrier_A,1.705,625.9
2281,Region 3,S06,1M,3,3,0,0,1,Standard,High,Suburban,Carrier_A,1.1450000000000002,459.8
2291,Region 2,S12,5M,3,2,1,0,1,Premium,Low,Rural,Carrier_A,1.35,1245.23
2299,Region 1,S01,1M,2,2,0,0,0,Standard,Medium,Suburban,Carrier_A,1.1,475.68
2300,Region 5,S09,1M,6,4,1,0,0,High Net Worth,Medium,Urban,Carrier_A,1.66,838.94
2310,Region 5,S11,1M,2,2,0,1,0,Entry,High,Urban,Carrier_A,1.2599999999999998,547.94
2321,Region 1,S01,1M,3,2,0,0,0,Standard,Medium,Rural,Carrier_A,1.155,475.67
2323,Region 3,S06,2M,5,4,1,0,0,Standard,Medium,Suburban,Carrier_A,1.605,764.93
2324,Region 1,S02,1M,3,3,0,0,0,Standard,Medium,Urban,Carrier_A,1.2000000000000002,531.53
2328,Region 2,S03,1M,5,3,0,0,1,Standard,High,Rural,Carrier_A,1.255,496.91
2334,Region 2,S03,1M,1,1,0,0,0,Premium,Medium,Suburban,Carrier_A,1.0,504.3
2339,Region 4,S07,1M,4,2,1,0,1,High Net Worth,Low,Rural,Carrier_A,1.465,687.3
2340,Region 1,S02,2M,3,3,0,0,1,Standard,High,Urban,Carrier_A,1.1450000000000002,646.78
2350,Region 1,S01,5M,3,3,0,0,0,Entry,High,Rural,Carrier_A,1.2000000000000002,837.47
2358,Region 4,S07,2M,7,5,0,0,1,High Net Worth,High,Suburban,Carrier_A,1.455,842.61
2361,Region 5,S10,5M,8,6,1,0,1,Premium,Low,Urban,Carrier_A,1.805,2046.09
2363,Region 3,S06,1M,5,2,0,0,1,High Net Worth,Medium,Urban,Carrier_A,1.21,592.95
2377,Region 5,S11,1M,4,3,0,0,0,Entry,Medium,Urban,Carrier_A,1.255,573.06
2391,Region 4,S08,1M,4,2,0,0,0,Entry,Medium,Urban,Carrier_A,1.21,504.3
2392,Region 5,S10,1M,2,1,0,0,1,Standard,Medium,Urban,Carrier_A,1.06,517.71
2399,Region 1,S02,2M,4,3,0,1,0,Premium,Low,Rural,Carrier_A,1.415,850.21
2410,Region 2,S12,1M,4,3,1,0,0,Premium,Medium,Suburban,Carrier_A,1.505,590.98
2437,Region 4,S08,2M,2,1,0,0,1,Entry,High,Suburban,Carrier_A,1.0,534.88
2438,Region 5,S09,1M,3,2,0,0,1,Premium,Medium,Suburban,Carrier_A,1.1,553.85
2440,Region 5,S10,1M,3,3,0,0,1,Entry,Medium,Urban,Carrier_A,1.1450000000000002,509.71
2442,Region 2,S03,1M,2,1,0,0,0,Standard,Medium,Suburban,Carrier_A,1.055,489.73
2443,Region 2,S03,1M,4,3,0,0,0,Standard,Medium,Suburban,Carrier_A,1.255,536.48
2448,Region 3,S06,2M,5,4,1,0,1,Standard,High,Rural,Carrier_A,1.55,677.09
2450,Region 4,S08,1M,5,3,0,0,0,Premium,Medium,Urban,Carrier_A,1.31,597.83
2466,Region 5,S09,1M,3,2,0,0,0,Entry,High,Suburban,Carrier_A,1.155,481.71
2469,Region 4,S08,1M,1,1,0,0,0,Standard,High,Rural,Carrier_A,1.0,433.56
2484,Region 3,S05,1M,5,4,0,0,1,Entry,Medium,Rural,Carrier_A,1.3,518.53
2494,Region 2,S12,1M,5,3,1,0,1,High Net Worth,Low,Urban,Carrier_A,1.505,742.47
